논문명,저자명,발행연도,인용된 총 횟수,참고문헌 수,소속기관,소속기관_정규화,주제분야,학술지명,발행기관명,주제어,키워드_정규화,URL,논문 ID,초록,영어초록,참고문헌목록,DOI,언어,호,등재구분,지도교수,학위구분,해외_학맥_여부,지도교수_국가
칸트 윤리학과 도덕교육론 : 도덕교육의 형식과 내용의 통합 가능성,이원봉,2011,8,24,세종대학교,세종대학교,서양철학,생명연구,생명문화연구소,"칸트 윤리학, 칸트 교육론, 도덕교육방법론, 응용윤리, 생명교육","도덕교육방법론, 생명교육, 응용윤리, 칸트 교육론, 칸트 윤리학",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001586093,ART001586093,,,,,,,,,,,
매킨타이어의 서사 개념이 갖는 윤리학적 역할과 한계,설민,2021,1,28,부산대학교,부산대학교,철학,철학탐구,중앙철학연구소,"매킨타이어, 서사, 서사적 통일성, 덕윤리, 덕","덕, 덕윤리, 매킨타이어, 서사, 서사적 통일성",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002718922,ART002718922,,,,,,,,,,,
도덕교육에서 내러티브의 가치,김대군,2008,14,29,경상대학교,경상국립대학교,윤리교육학,윤리교육연구,한국윤리교육학회,"내러티브, 스토리, 이야기, 내러티브 사고, 내러티브 윤리학, 배려윤리, 덕윤리","내러티브, 내러티브 사고, 내러티브 윤리학, 덕윤리, 배려윤리, 스토리, 이야기",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001272363,ART001272363,,,,,,,,,,,
법에 있어서 덕의 역할,한상수,2016,2,44,인제대학교,인제대학교,법학,법철학연구,한국법철학회,"덕, 덕법학, 성품, 행복, 4주덕, 정의","4주덕, 덕, 덕법학, 성품, 정의, 행복",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002136503,ART002136503,,,,,,,,,,,
자유주의와 도덕교육,박장호,2009,0,68,경성대학교,경성대학교,학제간연구,倫理硏究,한국윤리학회,"자유주의, 칸트의 의무론, 공리주의, 덕 윤리학, 자유주의 도덕교육, 인격교육, 열린 인격교육","공리주의, 덕 윤리학, 열린 인격교육, 인격교육, 자유주의, 자유주의 도덕교육, 칸트의 의무론",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001400347,ART001400347,,,,,,,,,,,
3대 일신교의 상호관계에 대한 고찰,강성률,2005,1,21,광주교육대학교,광주교육대학교,철학,동서철학연구,한국동서철학회,"덕윤리, 가상공간, 책임, 주체","가상공간, 덕윤리, 주체, 책임",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001158071,ART001158071,,,,,,,,,,,
선 윤리는 어떻게 가능한가?,이상형,2012,5,15,경북대학교,경북대학교,철학일반,사회와 철학,한국사회와철학연구회,"선 윤리, 의무론, 공동체주의, 인정투쟁, 다원주의","공동체주의, 다원주의, 선 윤리, 의무론, 인정투쟁",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001655211,ART001655211,,,,,,,,,,,
하우어워스의 윤리에 비추어본 예배공동체로서의 교회,문시영,2012,9,14,남서울대학교,남서울대학교,기독교신학,한국기독교신학논총,한국기독교학회,"교회, 교회윤리, 예배, 예배공동체, 덕 윤리","교회, 교회윤리, 덕 윤리, 예배, 예배공동체",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001627289,ART001627289,,,,,,,,,,,
공적 쾌락과 사적 금욕 : 벤담과 칸트에서 ‘금욕’의 문제,김종국,2007,3,7,경인교육대학교,경인교육대학교,철학,칸트연구,한국칸트학회,"도덕원칙으로서의 금욕주의, 도덕의 방법론으로서의 아스케제, 벤 담, 칸트, 아리스토텔레스, 니체, 공적 쾌락과 사적 금욕, 아스케제 와 아리스토텔레스적 덕","공적 쾌락과 사적 금욕, 니체, 도덕원칙으로서의 금욕주의, 도덕의 방법론으로서의 아스케제, 벤 담, 아리스토텔레스, 아스케제 와 아리스토텔레스적 덕, 칸트",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001207220,ART001207220,,,,,,,,,,,
‘효’ 의무의 윤리학적 근거,최문기,2011,15,36,서원대학교,서원대학교,기타인문학,효학연구,한국효학회,"‘효’ 의무의 근거, 도덕 정감, ‘효’ 의무의 유형, 보편적 도덕법칙, 보편윤리로서의 ‘효’","‘효’ 의무의 근거, ‘효’ 의무의 유형, 도덕 정감, 보편윤리로서의 ‘효’, 보편적 도덕법칙",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001561924,ART001561924,,,,,,,,,,,
초등 도덕과 교육 목표의 개선 방향 탐색,신현우,2006,1,30,청주교육대학교,청주교육대학교,교육학,도덕윤리과교육,한국도덕윤리과교육학회,"초등 도덕과 교육 목표, 도덕 사회화와 도덕 발달, 의무 윤리학과 덕 윤리학","도덕 사회화와 도덕 발달, 의무 윤리학과 덕 윤리학, 초등 도덕과 교육 목표",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001031451,ART001031451,,,,,,,,,,,
‘인간의 존엄성’에 대한 새로운 접근법,이상익,2015,9,17,부산교육대학교,부산교육대학교,한국철학일반,한국철학논집,한국철학사연구회,"인간의 존엄성, 인권, 생득분, 성취분, 합산, 균형.","균형., 생득분, 성취분, 인간의 존엄성, 인권, 합산",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002012912,ART002012912,,,,,,,,,,,
"도덕적 인성, 도덕적 추론 및 내외통제성의 관계",강윤정;박종희;최지영,2010,2,53,가족사랑 서울 신경정신과,가족사랑 서울 신경정신과,기타사회과학,인간발달연구,한국인간발달학회,"도덕적 인성, 도덕적 추론, 내외통제성","내외통제성, 도덕적 인성, 도덕적 추론",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001481186,ART001481186,,,,,,,,,,,
쾌락과 도덕의 문제-？유가철학과 아리스토텔레스를 중심으로,이상임,2005,11,9,경희대학교,경희대학교,유교학,유교사상문화연구,한국유교학회,"쾌락, 고통, 도덕, 정서, 덕 윤리학, 공자, 아리스토텔레스","고통, 공자, 덕 윤리학, 도덕, 아리스토텔레스, 정서, 쾌락",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART000969827,ART000969827,,,,,,,,,,,
발달적 덕접근의 성격과 규범윤리적 함의 : 아리스토텔레스와 칸트의 덕개념을 중심으로,노영란,2019,2,24,전남대학교,전남대학교,철학,범한철학,범한철학회,"아리스토텔레스, 칸트, 덕, 의무, 발달주의, 덕 발달, 완전주의","덕, 덕 발달, 발달주의, 아리스토텔레스, 완전주의, 의무, 칸트",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002507247,ART002507247,,,,,,,,,,,
아리스토텔레스의 윤리학에서 ‘친애’의 의미,김상돈,2018,5,23,경성대학교,경성대학교,윤리교육학,윤리교육연구,한국윤리교육학회,"아리스토텔레스, 친애, 친구, 덕, 좋은 인간, 철학자, 행복","덕, 아리스토텔레스, 좋은 인간, 철학자, 친구, 친애, 행복",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002311673,ART002311673,,,,,,,,,,,
방유룡 신부의 수덕(修德)교육,최영희,2008,0,29,가톨릭대학교,가톨릭대학교,종교학,종교교육학연구,한국종교교육학회,"침묵, 완덕, 초자연 덕, 윤리 덕, 수덕, 덕목","덕목, 수덕, 완덕, 윤리 덕, 초자연 덕, 침묵",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001302614,ART001302614,,,,,,,,,,,
생명존중 윤리에 근거한 식물의 권리 고찰,이연수,2021,1,35,부산교육대학교,부산교육대학교,윤리교육학,윤리교육연구,한국윤리교육학회,"식물의 권리, 생명존중 윤리","생명존중 윤리, 식물의 권리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002769241,ART002769241,,,,,,,,,,,
칸트의 『덕론』은 타율의 윤리인가? - “덕의무” 개념에 관한 발전사적 연구를 중심으로 -,김수배,2016,3,39,충남대학교,국립충남대학교,철학,칸트연구,한국칸트학회,"덕의무, 도덕형이상학, 의무론적 윤리, 덕윤리, 바움가르텐의 도덕철학","덕윤리, 덕의무, 도덕형이상학, 바움가르텐의 도덕철학, 의무론적 윤리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002173008,ART002173008,,,,,,,,,,,
칸트와 도덕적 실재론,맹주만,2007,11,35,중앙대학교,중앙대학교,철학,칸트연구,한국칸트학회,"도덕법칙, 정언명법, 선의지, 도덕적 실재론, 도덕적 반실재론,   내제주의, 객관주의, 직관주의, 구성주의, 덕 윤리, 덕 의무","객관주의, 구성주의, 내제주의, 덕 윤리, 덕 의무, 도덕법칙, 도덕적 반실재론, 도덕적 실재론, 선의지, 정언명법, 직관주의",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001063991,ART001063991,,,,,,,,,,,
유라시아 삼동윤리와 삼덕윤리의 상관연동,김용환,2025,0,31,조지워싱턴 대학교,조지워싱턴 대학교,기타인문학,유라시아문화,한국유라시아연구원,"덕성윤리, 덕행윤리, 비폭력 무저항주의, 대원경지, 진여무심","대원경지, 덕성윤리, 덕행윤리, 비폭력 무저항주의, 진여무심",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003183255,ART003183255,,,,,,,,,,,
인간 몸의 취약성과 그에 관련된 덕목들: 알라스디어 매킨타이어의 『의존적인 이성적 동물』을 중심으로,김수정,2014,8,8,가톨릭대학교,가톨릭대학교,응용윤리학,생명윤리정책연구,생명의료법연구소,"알라스디어 매킨타이어, 의존성, 이성적 동물, 취약성, 덕윤리","덕윤리, 알라스디어 매킨타이어, 의존성, 이성적 동물, 취약성",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001890203,ART001890203,,,,,,,,,,,
유덕함과 옳은 행위 - 애나스(Julia Annas)의 견해에 대한 비판적 고찰 -,한곽희,2020,1,23,영남대학교,영남대학교,철학,철학논집,철학연구소,"옳음, 덕, 애나스, 학습자-전문가, 발전","덕, 발전, 애나스, 옳음, 학습자-전문가",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002654957,ART002654957,,,,,,,,,,,
주희 윤리설의 기본원리에 관한 연구,김혜수,2019,1,23,부산대학교,부산대학교,철학,양명학,한국양명학회,"주희, 윤리설, 이기론, 의무의 윤리설, 존재의 윤리설","윤리설, 의무의 윤리설, 이기론, 존재의 윤리설, 주희",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002504815,ART002504815,,,,,,,,,,,
배려(Care)의 윤리와 인(仁)의 윤리,한평수,2006,5,0,인하대학교,인하대학교,철학,철학사상,철학사상연구소,"인, 예, 유교윤리, 배려윤리, 덕윤리, 여성주의","덕윤리, 배려윤리, 여성주의, 예, 유교윤리, 인",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001027289,ART001027289,,,,,,,,,,,
증거에 기반한 발달적 인격교육,노희정,2019,2,24,광주교육대학교,광주교육대학교,윤리교육학,초등도덕교육,한국초등도덕교육학회,"증거기반, 도덕교육, 인성교육, 발달적 인격교육, 가치교육","가치교육, 도덕교육, 발달적 인격교육, 인성교육, 증거기반",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002509843,ART002509843,,,,,,,,,,,
자기충실성(integrity)과 악한 목표 그리고 무지: 자기충실성에 관한 Halfon의 견해 비판,한곽희,2013,9,28,동덕여자대학교,동덕여자대학교,철학,철학연구,철학연구회,"자기충실성, 믿음의 윤리학, 핼폰, 무지, 덕윤리학","덕윤리학, 무지, 믿음의 윤리학, 자기충실성, 핼폰",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001785468,ART001785468,,,,,,,,,,,
사회적 영성의 기원과 복원 - 선한 사마리아인 제자도를 중심으로,문시영,2021,5,30,남서울대학교,남서울대학교,기독교신학,기독교사회윤리,한국기독교사회윤리학회,"사회적 영성, 제자도, 책임, 소통, 공감, 환대, 사회적 영성의 기원과 복원","공감, 사회적 영성, 사회적 영성의 기원과 복원, 소통, 제자도, 책임, 환대",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002713802,ART002713802,,,,,,,,,,,
언론인의 윤리적 가치관 유형에 따른 취재보도 원칙의 중요도 인식 및 수행도 비교,오현경,2021,3,60,서울대학교 언론정보연구소,서울대학교,신문방송학,한국언론학보,한국언론학회,"언론인의 윤리관, 취재보도 원칙, 중요도, 수행도","수행도, 언론인의 윤리관, 중요도, 취재보도 원칙",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002749578,ART002749578,,,,,,,,,,,
John Dewey 민주주의론의 현대적 의의: 듀이 윤리이론과의 관계를 중심으로,박상혁,2019,0,40,동아대학교,동아대학교,철학,철학연구,철학연구회,"존 듀이, 민주주의, 윤리학, 덕윤리, 덕-공리주의","덕-공리주의, 덕윤리, 민주주의, 윤리학, 존 듀이",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002452319,ART002452319,,,,,,,,,,,
MacIntyre의 ‘사회적 실천’에 대한 교육학적 비판,김한미,2010,2,26,서울대학교,서울대학교,교육학,교육원리연구,한국교육원리학회,"'사회적 실천', ‘교육소재’, 수도계, 품위","'사회적 실천', ‘교육소재’, 수도계, 품위",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001454346,ART001454346,,,,,,,,,,,
에토스에 관한 철학: 윤리학의 기원과 교육의 문제,송유레,2021,1,35,경희대학교,경희대학교,서양고전어와문학,서양고전학연구,한국서양고전학회,"교육, 관습, 덕, 법, 성격, 습관, 윤리학, 에토스, 정치학","관습, 교육, 덕, 법, 성격, 습관, 에토스, 윤리학, 정치학",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002705730,ART002705730,,,,,,,,,,,
퇴계 주리철학의 공공公共적 성격,정순우,2012,6,13,한국학중앙연구원,한국학중앙연구원,기타인문학,한국학논집,한국학연구원,"퇴계, 주리철학, 공공성, 경, 덕 윤리, 최소도덕","경, 공공성, 덕 윤리, 주리철학, 최소도덕, 퇴계",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001675064,ART001675064,,,,,,,,,,,
기술을 통한 도덕적 능력향상(moral enhancement)에 관한 비판적 고찰,이상헌,2017,12,15,세종대학교,세종대학교,철학,철학논총,새한철학회,"도덕적 향상, 트랜스휴머니즘, 포스트휴먼, 도덕공학","도덕공학, 도덕적 향상, 트랜스휴머니즘, 포스트휴먼",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002222526,ART002222526,,,,,,,,,,,
아리스토텔레스 행복관에 대한 몇 가지 오해에 대한 해명: 아리스토텔레스와 칸트 윤리학의 온당한 비교를 위하여,이영환,2015,6,23,인제대학교,인제대학교,철학,인간.환경.미래,인간환경미래연구원,"아리스토텔레스 윤리학, 덕 윤리학, 칸트 윤리학, 행복, 에우다이모니아","덕 윤리학, 아리스토텔레스 윤리학, 에우다이모니아, 칸트 윤리학, 행복",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001988945,ART001988945,,,,,,,,,,,
공통 도덕과 규범윤리학,최경석,2020,0,15,이화여자대학교,이화여자대학교,윤리학,윤리학,한국윤리학회(8A3209),"규범윤리학, 다원주의, 원칙주의, 반성적 평형, 공통 도덕","공통 도덕, 규범윤리학, 다원주의, 반성적 평형, 원칙주의",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002663145,ART002663145,,,,,,,,,,,
의무로부터의 행위와 유덕한 사람의 행위에서 행위를 위한 이유의 성격에 대한 비교연구,노영란,2008,2,23,광주교대,광주교육대학교,철학,철학연구,철학연구회,"행위를 위한 이유,실천추론,감정, 칸트윤리학, 덕윤리","감정, 덕윤리, 실천추론, 칸트윤리학, 행위를 위한 이유",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001250577,ART001250577,,,,,,,,,,,
윤리학에서의 반이론논쟁,노영란,2004,3,22,광주교대,광주교육대학교,철학,철학,한국철학회,"반이론, 도덕원칙, 칸트윤리학, 공리주의, 덕윤리","공리주의, 덕윤리, 도덕원칙, 반이론, 칸트윤리학",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001099526,ART001099526,,,,,,,,,,,
Is Ethical Counseling Possible: A Virtue Ethics Approach to Philosophical Counseling?,Shu‐Ju Yu,2010,0,13,"Department of Fu Jen Academia Catholica, Taiwan","Department of Fu Jen Academia Catholica, Taiwan",기타인문학,Journal of Humanities Therapy,인문과학연구소,"Alasdair MacIntyre, Virtue ethics, Ethical suffering, Ethical diagnosis, Ethical therapy, Ethical counseling, Philosophical counseling, Der‐Hui Yee, Wei‐Lun Lee, Arthur Kleinman","Alasdair MacIntyre, Arthur Kleinman, Der‐Hui Yee, Ethical counseling, Ethical diagnosis, Ethical suffering, Ethical therapy, Philosophical counseling, Virtue ethics, Wei‐Lun Lee",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002254067,ART002254067,,,,,,,,,,,
규범 중심의 생명윤리 논의에 대한 비판 : 행위의 통합성을 중심으로,김수정,2011,3,0,가톨릭대학교,가톨릭대학교,학제간연구,생명윤리,한국생명윤리학회,"목적, 의도, 도덕적 품성, 덕 윤리, 통합성 혹은 진정성","덕 윤리, 도덕적 품성, 목적, 의도, 통합성 혹은 진정성",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001567420,ART001567420,,,,,,,,,,,
보편적인 도덕발달론의 정초 가능성에 대한 논의,김진,2011,2,11,울산대학교,울산대학교,철학,철학연구,대한철학회,"칸트, 콜버그, 롤즈, 도덕발달, 도덕판단, 도덕원리, 도덕단계, 정의","도덕단계, 도덕발달, 도덕원리, 도덕판단, 롤즈, 정의, 칸트, 콜버그",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001604209,ART001604209,,,,,,,,,,,
공학윤리에서 문제해결방안에 관한 연구,김대군,2003,3,0,경상대학교,경상국립대학교,윤리교육학,윤리교육연구,한국윤리교육학회,"공학윤리, 예방윤리, 직업윤리, 응용윤리, 전문직, 공리주의, 의무론, 덕윤리","공리주의, 공학윤리, 덕윤리, 예방윤리, 응용윤리, 의무론, 전문직, 직업윤리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001002884,ART001002884,,,,,,,,,,,
도덕 교육과 도덕과 교육의 딜레마,이재준,2010,4,25,성균관대학교,성균관대학교,교육학,교육사상연구,한국교육사상학회,"도덕 교육, 도덕과 교육, 센티멘털리스트 덕 윤리, 성리학, 몸과 욕망","도덕 교육, 도덕과 교육, 몸과 욕망, 성리학, 센티멘털리스트 덕 윤리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001441052,ART001441052,,,,,,,,,,,
